Profundidad,Min_Samples,Arboles,Accuracy,Ranking
,1,200,0.7256492877413562,1
,1,200,0.7234640217808758,2
,1,200,0.7229020427854036,3
650,1,200,0.7225898744642447,4
650,1,200,0.7224649808220706,5
,1,200,0.7222776944481035,6
,1,100,0.7221216629149455,7
,1,200,0.722121619058761,8
,1,100,0.7211225547099908,9
,1,100,0.7210601502832154,10
650,1,200,0.7207479614958373,11
,1,100,0.7206543636269109,12
,1,200,0.7200299275772418,13
,1,100,0.7199674763705363,14
650,1,100,0.719780151987876,15
650,1,100,0.7193743653315715,16
650,1,200,0.7193431689656751,17
650,1,200,0.7191870701863676,18
,1,100,0.7185937895701562,19
650,1,100,0.7182505096717243,20
,1,200,0.718188032151308,21
,1,200,0.7180943436462671,22
650,1,100,0.7176573635478118,23
650,1,100,0.7173450753530822,24
,1,100,0.7173139462333352,25
650,1,200,0.7171265662995078,26
650,1,100,0.7170016931235533,27
,1,100,0.7165022793608662,28
650,1,200,0.7161900701072685,29
,1,100,0.715534382140536,30
300,1,200,0.7154720420361644,31
,1,200,0.7150349069791907,32
650,1,200,0.7150036930708206,33
650,1,100,0.7144417988639716,34
300,1,200,0.7136301027540463,35
300,1,200,0.7130057164080529,36
650,1,100,0.7129745112709195,37
300,1,200,0.7128184563477965,38
300,1,100,0.7123188847028453,39
650,1,100,0.712256471504833,40
300,1,200,0.7122252195877695,41
650,1,200,0.7121628297797223,42
300,1,100,0.7120067456191429,43
300,1,100,0.7112574802497035,44
300,1,100,0.7108828139419091,45
300,1,100,0.7103521570333955,46
300,1,200,0.7100711178319837,47
300,1,200,0.7099151126125364,48
300,1,100,0.7080731821016549,49
300,1,200,0.7076361318333045,50
300,1,100,0.7074176110847477,51
300,1,200,0.7065746864477238,52
300,1,100,0.7059190774221235,53
300,1,100,0.705169829595158,54
,2,200,0.6811938435810939,55
,2,100,0.6804445840591459,56
,2,100,0.6804133701507756,57
,2,200,0.6799762701787495,58
650,2,200,0.6798826196824018,59
650,2,200,0.6797889662623086,60
650,2,100,0.6796017120495433,61
650,2,100,0.6793831386735653,62
650,2,200,0.6791958435283613,63
,2,200,0.6791333835504189,64
650,2,100,0.6789773549410065,65
650,2,200,0.6788524057476653,66
,2,200,0.678758752327572,67
650,2,200,0.6786963157395945,68
,2,200,0.6786339025415823,69
,2,100,0.6784778154572573,70
,2,200,0.6784777511348533,71
,2,100,0.6784153554793148,72
650,2,200,0.6782592713187353,73
,2,200,0.6782279843167244,74
,2,100,0.6781968435019948,75
,2,200,0.6781031754631736,76
650,2,200,0.6778534583487202,77
,2,100,0.677853396950062,78
,2,200,0.6776660871861298,79
,2,100,0.6775411876964643,80
,2,100,0.6773226523291794,81
650,2,100,0.6771666149485301,82
650,2,100,0.6771665564736176,83
650,2,100,0.6770104810842751,84
650,2,200,0.6769793051845981,85
650,2,200,0.6769480766574997,86
650,2,100,0.6766358644801563,87
,2,100,0.676604650571786,88
650,2,100,0.6765422461450106,89
650,2,100,0.676386123975738,90
300,2,100,0.6700175890782991,91
300,2,200,0.6695492898166308,92
300,2,100,0.6695180583657866,93
300,2,200,0.6690497678753554,94
300,2,200,0.669018562738222,95
300,2,200,0.6688936603248109,96
300,2,100,0.6687688163863125,97
300,2,200,0.6686126679033292,98
300,2,200,0.66823807176543,99
300,2,200,0.668175655643672,100
300,2,200,0.6680819700623767,101
300,2,200,0.6674575690976553,102
300,2,100,0.6672078315169827,103
650,3,100,0.667145397852751,104
650,3,100,0.667145397852751,104
,3,100,0.6670829524935367,106
,3,100,0.6670829524935367,106
300,2,100,0.6667395790352444,108
300,2,100,0.6667395702640077,109
300,2,100,0.6667395468740426,110
,3,200,0.6667395293315689,111
650,3,200,0.6667083124994528,112
300,2,100,0.666521008583012,113
650,3,200,0.6663649039562133,114
650,3,200,0.6663649039562133,114
,3,200,0.6662712768498306,116
650,3,200,0.6662400541702235,117
650,3,200,0.6661151751467774,118
650,3,200,0.6661151751467774,118
,3,200,0.6661151663755406,120
,3,200,0.6661151663755406,120
,3,200,0.6660527385588001,122
,3,200,0.6660527385588001,122
650,3,100,0.6659902873520945,124
,3,100,0.6656780985647163,125
300,2,100,0.6654283639077893,126
,3,100,0.6653034761131064,127
650,3,100,0.6653034761131064,127
,3,100,0.6653034761131064,127
650,3,100,0.6653034761131064,127
,3,100,0.6652410570676027,131
650,3,100,0.6652410570676027,131
,3,100,0.6652098343879956,133
650,3,100,0.6652098343879956,133
,3,200,0.6647727899671364,135
,3,200,0.6647727899671364,135
650,3,200,0.6647727899671364,135
650,3,200,0.6647727899671364,135
,3,200,0.6647727607296802,139
650,3,200,0.6647727607296802,139
650,3,100,0.6644918238593654,141
650,3,100,0.6644918238593654,141
,3,100,0.6644606070272495,143
,3,100,0.6644606070272495,143
300,3,200,0.6597465993168995,145
300,3,200,0.6597465993168995,145
300,3,100,0.6597153971035118,147
300,3,100,0.6596841685764134,148
300,3,100,0.6596841685764134,148
300,3,200,0.6592783117502139,150
300,3,200,0.6590597003655425,151
300,3,200,0.6590597003655425,151
300,3,100,0.6587163795346718,153
300,3,100,0.6587163795346718,153
300,3,200,0.6586226354784639,155
300,3,200,0.6583105402509459,156
300,3,200,0.6582480802730034,157
300,3,200,0.6582480802730034,157
300,3,100,0.6581231837070837,159
