Profundidad,Min_Samples_Hoja,Min_Samples_Split,Max_Features_TFIDF,Arboles,Accuracy,Ranking
,1,2,8000,200,0.7880315764284685,1
,1,2,8000,100,0.786739001229631,2
,1,2,6500,200,0.786296505319672,3
,1,5,8000,200,0.7856560415603285,4
650,1,2,8000,200,0.7852601290487135,5
,1,2,5000,200,0.7849923092889669,6
,1,5,8000,100,0.7846429606496715,7
,1,2,6500,100,0.7845963739969903,8
,1,5,6500,200,0.7845847377070204,9
650,1,2,6500,200,0.783525084381408,10
,1,2,5000,100,0.7834668720153531,11
650,1,2,8000,100,0.7834435567222355,12
,1,10,8000,200,0.7832455815505921,13
,1,5,6500,100,0.7831407910744916,14
650,1,5,8000,200,0.7825119831311423,15
650,1,2,6500,100,0.7820229213149027,16
650,1,5,8000,100,0.781906457123953,17
,1,5,5000,200,0.781755088537807,18
,1,10,8000,100,0.7817201446837704,19
650,1,2,5000,200,0.7816270047353658,20
,1,10,6500,200,0.7815571239427599,21
650,1,5,6500,200,0.7814173900194151,22
,1,10,6500,100,0.7805906166674345,23
650,1,2,5000,100,0.7804625446619663,24
,1,5,5000,100,0.780415954754948,25
650,1,5,6500,100,0.7803577338462575,26
650,1,5,5000,200,0.7797987965257102,27
650,1,10,8000,200,0.7795891671652413,28
650,1,10,8000,100,0.7788089788387732,29
,1,10,5000,200,0.7780637132131486,30
650,1,10,6500,200,0.7780054955587957,31
650,1,5,5000,100,0.7779705854685091,32
650,1,10,6500,100,0.7770040395479277,33
,1,10,5000,100,0.7768410358921883,34
650,1,10,5000,200,0.7760142617266231,35
300,1,2,8000,200,0.775455310575142,36
650,1,10,5000,100,0.774861436316025,37
300,1,2,8000,100,0.7733010494932845,38
300,1,2,6500,200,0.7732661093003775,39
300,1,2,5000,200,0.7725092053508221,40
300,1,2,6500,100,0.7716824214222452,41
300,1,5,8000,200,0.771507758289382,42
300,1,2,5000,100,0.7708789495324484,43
300,1,5,6500,200,0.7704946663953361,44
300,1,5,8000,100,0.7702384784508459,45
300,1,5,6500,100,0.7693884158404464,46
300,1,10,8000,200,0.7687828914604257,47
300,1,5,5000,200,0.7686431750291441,48
300,1,10,8000,100,0.7681773646396518,49
300,1,5,5000,100,0.7678396823929469,50
300,1,10,6500,200,0.7675834956688329,51
300,1,10,6500,100,0.7661162512352497,52
300,1,10,5000,200,0.7654059441081799,53
300,1,10,5000,100,0.7636825255610401,54
,2,2,5000,200,0.736666824705424,55
,2,5,5000,200,0.7361544667152987,56
,2,2,6500,200,0.7359681640381283,57
,2,5,6500,200,0.7358284187246028,58
,2,2,8000,200,0.7355722181695552,59
,2,2,6500,100,0.735304420783378,60
,2,5,8000,200,0.7352578117571276,61
,2,2,5000,100,0.7350831494378488,62
,2,10,5000,200,0.735013288578059,63
,2,10,6500,200,0.7348852076231632,64
,2,5,5000,100,0.7348735477392475,65
,2,5,6500,100,0.7348386286995332,66
,2,2,8000,100,0.7347221616610381,67
650,2,2,5000,200,0.7343146002488958,68
,2,10,8000,200,0.734233083573112,69
,2,10,5000,100,0.7337323647205017,70
,2,10,6500,100,0.7336275844142056,71
,2,5,8000,100,0.7335111246979696,72
,2,10,8000,100,0.7334063094075468,73
650,2,5,5000,200,0.7329405287138829,74
650,2,2,6500,200,0.7321719831860594,75
650,2,2,6500,100,0.7320671788790252,76
650,2,10,5000,200,0.7320671752178957,77
650,2,5,6500,200,0.7319507362480602,78
650,2,2,5000,100,0.7317760584706791,79
650,2,5,5000,100,0.7314267313913686,80
650,2,10,5000,100,0.7311821772960951,81
650,2,10,6500,200,0.7309143591635173,82
650,2,5,6500,100,0.7305766577975804,83
650,2,5,8000,200,0.7302506004506647,84
650,2,10,6500,100,0.7299362062420022,85
650,2,2,8000,200,0.7298430349706005,86
650,2,10,8000,200,0.7294471135095577,87
650,2,5,8000,100,0.7293306741329301,88
650,2,2,8000,100,0.7290977868370393,89
650,2,10,8000,100,0.72896968269499,90
300,2,2,5000,200,0.720131347496006,91
300,2,5,5000,200,0.7192463609643863,92
300,2,10,5000,200,0.7191066193119903,93
300,2,2,5000,100,0.7190483935217941,94
300,2,10,5000,100,0.7188038658680115,95
300,2,5,6500,200,0.7186990713239895,96
300,2,5,5000,100,0.7186058919167447,97
300,2,2,6500,200,0.7185476852457803,98
300,2,2,6500,100,0.7180935514186825,99
300,2,5,6500,100,0.7177674948853513,100
300,2,10,6500,200,0.7174298040960108,101
300,2,5,8000,200,0.7168242707665623,102
300,2,10,6500,100,0.7167544156018627,103
300,2,2,8000,200,0.7165331536125534,104
300,2,5,8000,100,0.7158810580379539,105
300,2,10,8000,200,0.7156830930361148,106
300,2,2,8000,100,0.7155550096404659,107
300,2,10,8000,100,0.7147980991822358,108
,3,5,5000,200,0.7098374643586499,109
,3,2,5000,200,0.7098374643586499,109
,3,2,5000,100,0.7095579879693251,111
,3,5,5000,100,0.7095579879693251,111
,3,10,5000,200,0.7093018101946389,113
,3,10,5000,100,0.7091271385191402,114
,3,2,6500,200,0.7088476767743334,115
,3,5,6500,200,0.7088476767743334,115
,3,10,6500,200,0.7088243850751614,117
,3,2,8000,200,0.7079626593265088,118
,3,5,8000,200,0.7079626593265088,118
,3,10,8000,200,0.7078811479390231,120
650,3,10,5000,200,0.707776348920287,121
,3,2,6500,100,0.7076366105222286,122
,3,5,6500,100,0.7076366105222286,122
,3,10,6500,100,0.7076133265521078,124
650,3,5,5000,200,0.7071359006190461,125
650,3,2,5000,200,0.7071359006190461,125
650,3,2,5000,100,0.7069495800430202,127
650,3,5,5000,100,0.7069495800430202,127
650,3,10,5000,100,0.7067632619077475,129
,3,2,8000,100,0.706623518628183,130
,3,5,8000,100,0.706623518628183,130
,3,10,8000,100,0.706460494632835,132
650,3,10,6500,200,0.7064488628175788,133
650,3,5,6500,200,0.7063091337757402,134
650,3,2,6500,200,0.7063091337757402,134
650,3,5,6500,100,0.7054707086756871,136
650,3,2,6500,100,0.7054707086756871,136
650,3,10,6500,100,0.7053193360216193,138
650,3,10,8000,200,0.7050864149619787,139
650,3,5,8000,200,0.7049001102508474,140
650,3,2,8000,200,0.7049001102508474,140
650,3,10,8000,100,0.7044459752033733,142
650,3,5,8000,100,0.7041897823773767,143
650,3,2,8000,100,0.7041897823773767,143
300,3,5,5000,200,0.6949322620868377,145
300,3,2,5000,200,0.6949322620868377,145
300,3,10,5000,200,0.6947342942374534,147
300,3,5,5000,100,0.6945130395704031,148
300,3,2,5000,100,0.6945130395704031,148
300,3,10,5000,100,0.6933252882046238,150
300,3,10,6500,200,0.6927314224881421,151
300,3,5,6500,200,0.6923587898787261,152
300,3,2,6500,200,0.6923587898787261,152
300,3,2,6500,100,0.6914737866686274,154
300,3,5,6500,100,0.6914737866686274,154
300,3,10,6500,100,0.691403926622422,156
300,3,10,8000,200,0.6907052289370389,157
300,3,2,8000,200,0.6905422041281065,158
300,3,5,8000,200,0.6905422041281065,158
300,3,2,8000,100,0.6900880519953613,160
300,3,5,8000,100,0.6900880519953613,160
300,3,10,8000,100,0.6897387131190779,162
,5,2,5000,200,0.6844753354281097,163
,5,5,5000,200,0.6844753354281097,163
,5,10,5000,200,0.6844753354281097,163
650,5,5,5000,200,0.6842540819814359,166
650,5,2,5000,200,0.6842540819814359,166
650,5,10,5000,200,0.6842540819814359,166
,5,5,5000,100,0.6840211918379998,169
,5,10,5000,100,0.6840211918379998,169
,5,2,5000,100,0.6840211918379998,169
650,5,5,5000,100,0.6839513208084059,172
650,5,10,5000,100,0.6839513208084059,172
650,5,2,5000,100,0.6839513208084059,172
650,5,5,6500,200,0.6836718387239906,175
650,5,2,6500,200,0.6836718387239906,175
650,5,10,6500,200,0.6836718387239906,175
,5,5,6500,200,0.6834389546824372,178
,5,2,6500,200,0.6834389546824372,178
,5,10,6500,200,0.6834389546824372,178
,5,10,6500,100,0.6827519274575663,181
,5,2,6500,100,0.6827519274575663,181
,5,5,6500,100,0.6827519274575663,181
650,5,10,6500,100,0.6826354612326555,184
650,5,5,6500,100,0.6826354612326555,184
650,5,2,6500,100,0.6826354612326555,184
650,5,10,8000,200,0.6823210458708001,187
650,5,5,8000,200,0.6823210458708001,187
650,5,2,8000,200,0.6823210458708001,187
,5,2,8000,200,0.6821813029980278,190
,5,5,8000,200,0.6821813029980278,190
,5,10,8000,200,0.6821813029980278,190
650,5,10,8000,100,0.6821580198414914,193
650,5,5,8000,100,0.6821580198414914,193
650,5,2,8000,100,0.6821580198414914,193
,5,10,8000,100,0.6820415768037341,196
,5,5,8000,100,0.6820415768037341,196
,5,2,8000,100,0.6820415768037341,196
300,5,5,5000,200,0.6732149096245094,199
300,5,2,5000,200,0.6732149096245094,199
300,5,10,5000,200,0.6732149096245094,199
300,5,10,5000,100,0.6730285898620679,202
300,5,2,5000,100,0.6730285898620679,202
300,5,5,5000,100,0.6730285898620679,202
300,5,5,6500,200,0.6723997774440048,205
300,5,2,6500,200,0.6723997774440048,205
300,5,10,6500,200,0.6723997774440048,205
300,5,2,6500,100,0.6718524817017255,208
300,5,5,6500,100,0.6718524817017255,208
300,5,10,6500,100,0.6718524817017255,208
300,5,10,8000,200,0.6711072079402577,211
300,5,5,8000,200,0.6711072079402577,211
300,5,2,8000,200,0.6711072079402577,211
300,5,10,8000,100,0.6702455000904605,214
300,5,5,8000,100,0.6702455000904605,214
300,5,2,8000,100,0.6702455000904605,214
